LunaNet-ContactData2.csv,,,,
2023/04/30 01:45:00.0000 UTC,,,,
,,,,
Generated: Tue Jul 18 16:36:28 2023,,,,
Start: 2023/04/30 01:45:00.00, Stop: 2023/05/01 01:45:00.00,,,
Analysis,Rise,Set,Duration,
ID,SECONDS,SECONDS,SECONDS,
IOAGNorth1 sees Gateway,0,25831.754,25831.754,
IOAGNorth1 sees Gateway,32024.593,63657.518,31632.925,
IOAGNorth1 sees Gateway,68511.222,86400,17888.778,
IOAGNorth2 sees Gateway,0,14368,14368,
IOAGNorth2 sees Gateway,16467.845,43051.182,26583.337,
IOAGNorth2 sees Gateway,50074.937,86400,36325.063,
IOAGSouth1 sees Gateway,0,13252.835,13252.835,
IOAGSouth1 sees Gateway,16157.758,35041.137,18883.379,
IOAGSouth1 sees Gateway,37438.226,78489.564,41051.338,
IOAGSouth1 sees Gateway,80628.489,86400,5771.511,
IOAGSouth2 sees Gateway,0,56789.436,56789.436,
IOAGSouth2 sees Gateway,59045.535,86400,27354.465,
LunarBase sees Gateway,0,8208.615,8208.615,
LunarBase sees Gateway,22718.8,86400,63681.2,
LunarBase sees IOAGNorth1,35888.846,37754.15,1865.303,
LunarBase sees IOAGNorth1,79073.053,80931.646,1858.592,
LunarBase sees IOAGNorth2,14295.896,16165.833,1869.937,
LunarBase sees IOAGNorth2,57481.227,59342.74,1861.513,
LunarBase sees IOAGSouth1,0,32074.395,32074.395,
LunarBase sees IOAGSouth1,42005.14,75273.526,33268.386,
LunarBase sees IOAGSouth1,85218.92,86400,1181.08,
LunarBase sees IOAGSouth2,0,10473.44,10473.44,
LunarBase sees IOAGSouth2,20396.962,53674.426,33277.464,
LunarBase sees IOAGSouth2,63612.471,86400,22787.529,
LunarRoverFar sees Gateway,0,14973.421,14973.421,
LunarRoverFar sees IOAGEquatorial,5696.489,23131.043,17434.555,
LunarRoverFar sees IOAGEquatorial,49698.037,67132.445,17434.408,
LunarRoverFar sees IOAGNorth1,18114.607,34913.306,16798.699,
LunarRoverFar sees IOAGNorth1,63324.004,77861.023,14537.019,
LunarRoverFar sees IOAGNorth2,0,13395.074,13395.074,
LunarRoverFar sees IOAGNorth2,40665.484,56405.387,15739.903,
LunarRoverFar sees IOAGNorth2,86127.28,86400,272.72,
LunarRoverFar sees IOAGSouth1,36717.099,41205.422,4488.322,
LunarRoverFar sees IOAGSouth1,80001.792,85099.641,5097.849,
LunarRoverFar sees IOAGSouth2,15072.142,19271.487,4199.345,
LunarRoverFar sees IOAGSouth2,58360.183,63148.583,4788.4,
LunarRoverNear sees Gateway,0,7579.415,7579.415,
LunarRoverNear sees Gateway,22137.405,86400,64262.595,
LunarRoverNear sees IOAGNorth1,35547.365,38072.666,2525.301,
LunarRoverNear sees IOAGNorth1,78800.164,81323.624,2523.459,
LunarRoverNear sees IOAGNorth2,13921.006,16446.825,2525.819,
LunarRoverNear sees IOAGNorth2,57173.771,59698.291,2524.52,
LunarRoverNear sees IOAGSouth1,0,30735.525,30735.525,
LunarRoverNear sees IOAGSouth1,40885.204,73988.561,33103.357,
LunarRoverNear sees IOAGSouth1,84083.135,86400,2316.865,
LunarRoverNear sees IOAGSouth2,0,9113.763,9113.763,
LunarRoverNear sees IOAGSouth2,19290.214,52360.512,33070.298,
LunarRoverNear sees IOAGSouth2,62482.858,86400,23917.142,
Gateway sees DSN:Canberra,11068.049,51317.763,40249.714,
Gateway sees DSN:Goldstone,0,31503.746,31503.746,
Gateway sees DSN:Goldstone,73402.478,86400,12997.522,
Gateway sees DSN:Madrid,0,4139.179,4139.179,
Gateway sees DSN:Madrid,44840.057,86400,41559.943,
Gateway sees LEGS:Dongara,19035.657,60062.63,41026.973,
Gateway sees LEGS:Wallops,0,21833.811,21833.811,
Gateway sees LEGS:Wallops,62940.342,86400,23459.658,
Gateway sees LEGS:WhiteSands,0,28881.474,28881.474,
Gateway sees LEGS:WhiteSands,70947.236,86400,15452.764,
IOAGEquatorial sees DSN:Canberra,11065.938,15962.606,4896.669,
IOAGEquatorial sees DSN:Canberra,19690.906,50242.133,30551.227,
IOAGEquatorial sees DSN:Goldstone,0,15823.834,15823.834,
IOAGEquatorial sees DSN:Goldstone,19673.414,31722.652,12049.237,
IOAGEquatorial sees DSN:Goldstone,72778.155,86400,13621.845,
IOAGEquatorial sees DSN:Madrid,0,4460.631,4460.631,
IOAGEquatorial sees DSN:Madrid,43826.868,59847.89,16021.022,
IOAGEquatorial sees DSN:Madrid,63709.32,86400,22690.68,
IOAGEquatorial sees LEGS:Dongara,19731.1,59290.92,39559.82,
IOAGEquatorial sees LEGS:Wallops,0,15789.673,15789.673,
IOAGEquatorial sees LEGS:Wallops,19670.13,21775.689,2105.559,
IOAGEquatorial sees LEGS:Wallops,63764.853,86400,22635.147,
IOAGEquatorial sees LEGS:WhiteSands,0,15808.36,15808.36,
IOAGEquatorial sees LEGS:WhiteSands,19662.511,29028.87,9366.359,
IOAGEquatorial sees LEGS:WhiteSands,70395.029,86400,16004.971,
IOAGNorth1 sees DSN:Canberra,11522.861,50503.075,38980.215,
IOAGNorth1 sees DSN:Goldstone,0,31534.351,31534.351,
IOAGNorth1 sees DSN:Goldstone,72236.399,86400,14163.601,
IOAGNorth1 sees DSN:Madrid,0,4909.25,4909.25,
IOAGNorth1 sees DSN:Madrid,44107.289,86400,42292.711,
IOAGNorth1 sees LEGS:Dongara,19056.336,59236.734,40180.398,
IOAGNorth1 sees LEGS:Wallops,0,21920.761,21920.761,
IOAGNorth1 sees LEGS:Wallops,61765.085,86400,24634.915,
IOAGNorth1 sees LEGS:WhiteSands,0,28880.886,28880.886,
IOAGNorth1 sees LEGS:WhiteSands,69883.938,86400,16516.062,
IOAGNorth2 sees DSN:Canberra,11126.696,50224.15,39097.455,
IOAGNorth2 sees DSN:Goldstone,0,31899.457,31899.457,
IOAGNorth2 sees DSN:Goldstone,72518.541,86400,13881.459,
IOAGNorth2 sees DSN:Madrid,0,4704.032,4704.032,
IOAGNorth2 sees DSN:Madrid,43666.979,86400,42733.021,
IOAGNorth2 sees LEGS:Dongara,19002.52,59464.484,40461.963,
IOAGNorth2 sees LEGS:Wallops,0,21946.795,21946.795,
IOAGNorth2 sees LEGS:Wallops,62177.782,86400,24222.218,
IOAGNorth2 sees LEGS:WhiteSands,0,29176.531,29176.531,
IOAGNorth2 sees LEGS:WhiteSands,70219.1,86400,16180.9,
IOAGSouth1 sees DSN:Canberra,11030.49,37639.168,26608.678,
IOAGSouth1 sees DSN:Canberra,40237.669,50821.464,10583.795,
IOAGSouth1 sees DSN:Goldstone,0,31511.255,31511.255,
IOAGSouth1 sees DSN:Goldstone,72595.618,80980.51,8384.892,
IOAGSouth1 sees DSN:Goldstone,83861.135,86400,2538.865,
IOAGSouth1 sees DSN:Madrid,0,4441.96,4441.96,
IOAGSouth1 sees DSN:Madrid,44218.804,80980.386,36761.582,
IOAGSouth1 sees DSN:Madrid,83827.613,86400,2572.387,
IOAGSouth1 sees LEGS:Dongara,18732.144,37640.836,18908.692,
IOAGSouth1 sees LEGS:Dongara,40255.485,59617.889,19362.404,
IOAGSouth1 sees LEGS:Wallops,0,21513.267,21513.267,
IOAGSouth1 sees LEGS:Wallops,62309.136,80978.951,18669.815,
IOAGSouth1 sees LEGS:Wallops,83846.507,86400,2553.493,
IOAGSouth1 sees LEGS:WhiteSands,0,28767.844,28767.844,
IOAGSouth1 sees LEGS:WhiteSands,70278.516,80978.235,10699.719,
IOAGSouth1 sees LEGS:WhiteSands,83855.683,86400,2544.317,
IOAGSouth2 sees DSN:Canberra,11159.584,15997.229,4837.645,
IOAGSouth2 sees DSN:Canberra,18512.63,50589.135,32076.505,
IOAGSouth2 sees DSN:Goldstone,0,16034.931,16034.931,
IOAGSouth2 sees DSN:Goldstone,18504.908,31422.188,12917.28,
IOAGSouth2 sees DSN:Goldstone,72810.462,86400,13589.538,
IOAGSouth2 sees DSN:Madrid,0,4394.246,4394.246,
IOAGSouth2 sees DSN:Madrid,44252.955,59328.278,15075.323,
IOAGSouth2 sees DSN:Madrid,62090.109,86400,24309.891,
IOAGSouth2 sees LEGS:Dongara,18885.508,59293.44,40407.933,
IOAGSouth2 sees LEGS:Wallops,0,16040.761,16040.761,
IOAGSouth2 sees LEGS:Wallops,18501.655,21667.316,3165.661,
IOAGSouth2 sees LEGS:Wallops,62109.76,86400,24290.24,
IOAGSouth2 sees LEGS:WhiteSands,0,16034.443,16034.443,
IOAGSouth2 sees LEGS:WhiteSands,18499.302,28762.795,10263.494,
IOAGSouth2 sees LEGS:WhiteSands,70403.595,86400,15996.405,
LunarBase sees DSN:Canberra,11136.228,50531.38,39395.152,
LunarBase sees DSN:Goldstone,0,31516.697,31516.697,
LunarBase sees DSN:Goldstone,72529.84,86400,13870.16,
LunarBase sees DSN:Madrid,0,4509.102,4509.102,
LunarBase sees DSN:Madrid,44016.324,86400,42383.676,
Analysis,Time True,Time False,Percent True,Interval Count
IOAGEquatorial sees Gateway,86400,0,100.00%,1
IOAGNorth1 sees Gateway,75353.457,11046.543,87.21%,3
IOAGNorth2 sees Gateway,77276.401,9123.599,89.44%,3
IOAGSouth1 sees Gateway,78959.063,7440.937,91.39%,4
IOAGSouth2 sees Gateway,84143.9,2256.1,97.39%,2
LunarBase sees Gateway,71889.815,14510.185,83.21%,2
LunarBase sees IOAGEquatorial,0,86400,0.00%,0
LunarBase sees IOAGNorth1,3723.896,82676.104,4.31%,2
LunarBase sees IOAGNorth2,3731.45,82668.55,4.32%,2
LunarBase sees IOAGSouth1,66523.861,19876.139,77.00%,3
LunarBase sees IOAGSouth2,66538.434,19861.566,77.01%,3
LunarRoverFar sees Gateway,14973.421,71426.579,17.33%,1
LunarRoverFar sees IOAGEquatorial,34868.963,51531.037,40.36%,2
LunarRoverFar sees IOAGNorth1,31335.718,55064.282,36.27%,2
LunarRoverFar sees IOAGNorth2,29407.696,56992.304,34.04%,3
LunarRoverFar sees IOAGSouth1,9586.171,76813.829,11.10%,2
LunarRoverFar sees IOAGSouth2,8987.745,77412.255,10.40%,2
LunarRoverNear sees Gateway,71842.01,14557.99,83.15%,2
LunarRoverNear sees IOAGEquatorial,0,86400,0.00%,0
LunarRoverNear sees IOAGNorth1,5048.761,81351.239,5.84%,2
LunarRoverNear sees IOAGNorth2,5050.339,81349.661,5.85%,2
LunarRoverNear sees IOAGSouth1,66155.747,20244.253,76.57%,3
LunarRoverNear sees IOAGSouth2,66101.203,20298.797,76.51%,3
Gateway sees DSN:Canberra,40249.714,46150.286,46.59%,1
Gateway sees DSN:Goldstone,44501.269,41898.731,51.51%,2
Gateway sees DSN:Madrid,45699.122,40700.878,52.89%,2
Gateway sees LEGS:Dongara,41026.973,45373.027,47.48%,1
Gateway sees LEGS:Wallops,45293.469,41106.531,52.42%,2
Gateway sees LEGS:WhiteSands,44334.238,42065.762,51.31%,2
IOAGEquatorial sees DSN:Canberra,35447.896,50952.104,41.03%,2
IOAGEquatorial sees DSN:Goldstone,41494.917,44905.083,48.03%,3
IOAGEquatorial sees DSN:Madrid,43172.333,43227.667,49.97%,3
IOAGEquatorial sees LEGS:Dongara,39559.82,46840.18,45.79%,1
IOAGEquatorial sees LEGS:Wallops,40530.378,45869.622,46.91%,3
IOAGEquatorial sees LEGS:WhiteSands,41179.691,45220.309,47.66%,3
IOAGNorth1 sees DSN:Canberra,38980.215,47419.785,45.12%,1
IOAGNorth1 sees DSN:Goldstone,45697.952,40702.048,52.89%,2
IOAGNorth1 sees DSN:Madrid,47201.961,39198.039,54.63%,2
IOAGNorth1 sees LEGS:Dongara,40180.398,46219.602,46.51%,1
IOAGNorth1 sees LEGS:Wallops,46555.676,39844.324,53.88%,2
IOAGNorth1 sees LEGS:WhiteSands,45396.948,41003.052,52.54%,2
IOAGNorth2 sees DSN:Canberra,39097.455,47302.545,45.25%,1
IOAGNorth2 sees DSN:Goldstone,45780.915,40619.085,52.99%,2
IOAGNorth2 sees DSN:Madrid,47437.054,38962.946,54.90%,2
IOAGNorth2 sees LEGS:Dongara,40461.963,45938.037,46.83%,1
IOAGNorth2 sees LEGS:Wallops,46169.013,40230.987,53.44%,2
IOAGNorth2 sees LEGS:WhiteSands,45357.431,41042.569,52.50%,2
IOAGSouth1 sees DSN:Canberra,37192.474,49207.526,43.05%,2
IOAGSouth1 sees DSN:Goldstone,42435.013,43964.987,49.11%,3
IOAGSouth1 sees DSN:Madrid,43775.929,42624.071,50.67%,3
IOAGSouth1 sees LEGS:Dongara,38271.096,48128.904,44.30%,2
IOAGSouth1 sees LEGS:Wallops,42736.575,43663.425,49.46%,3
IOAGSouth1 sees LEGS:WhiteSands,42011.879,44388.121,48.62%,3
IOAGSouth2 sees DSN:Canberra,36914.15,49485.85,42.72%,2
IOAGSouth2 sees DSN:Goldstone,42541.749,43858.251,49.24%,3
IOAGSouth2 sees DSN:Madrid,43779.46,42620.54,50.67%,3
IOAGSouth2 sees LEGS:Dongara,40407.933,45992.067,46.77%,1
IOAGSouth2 sees LEGS:Wallops,43496.662,42903.338,50.34%,3
IOAGSouth2 sees LEGS:WhiteSands,42294.342,44105.658,48.95%,3
LunarBase sees DSN:Canberra,39395.152,47004.848,45.60%,1
LunarBase sees DSN:Goldstone,45386.856,41013.144,52.53%,2
LunarBase sees DSN:Madrid,46892.778,39507.222,54.27%,2
